Ф.И.О.;Укажите, пожалуйста, место Вашей работы.;К какой категории относится Ваша должность?;Почему Вы решили пройти обучение по данной программе?;"Насколько программа обучения полезна для Вашей работы? 
Оцените, пожалуйста, полезность программы по 10-балльной шкале, где 1 — программа совершенно бесполезна, 10 — программа очень полезна ";Прокомментируйте, пожалуйста, какие вопросы были для Вас наиболее актуальны и почему?;Какие знания, умения и навыки, полученные на программе, Вы сможете применить в своей деятельности?;Был ли достигнут ожидаемый эффект от обучения? ;Если нет, напишите, пожалуйста, почему? Если да, Вы можете поставить прочерк.;Какие темы и (или) вопросы можно исключить из данной программы без потери полезности?;Какими темами и (или) вопросами важно дополнить программу для усиления ее полезности и актуальности?;"Как Вы оцениваете практико-ориентированность программы? 
Оцените, пожалуйста, практическую часть по 10-балльной шкале, где 1 — были лекции, практики почти не было, 10 — практических заданий и (или) примеров было достаточно.";Достаточно ли практических заданий, примеров, разборов ситуаций? ;Если нет, какие темы и (или) вопросы требуют большей практической отработки? Если да, Вы можете поставить прочерк.;Что бы Вы хотели изменить в организации практических занятий, чтобы они стали полезными для Вашей деятельности?;"Насколько Вы оцениваете доступность материала программы обучения?
Оцените, пожалуйста, доступность материала программы по 10-балльной шкале, где 1 — я с трудом понял (поняла), о чем идет речь; 10 — материал был предельно доступным и понятным.";Сохраняется ли правильная последовательность тем и логика изложения материала?; Если нет, напишите, пожалуйста, в чем это заключается. Если да, Вы можете поставить прочерк.;Могли ли Вы на занятии задать интересующие Вас вопросы по изучаемой теме и получить исчерпывающие ответы?;Если нет, напишите, пожалуйста, подробнее. Если да, Вы можете поставить прочерк.;Чувствовали ли Вы свою отстраненность от процесса, потерю интереса во время обучения? ;Если да, в какие моменты обучения они возникали? Если нет, Вы можете поставить прочерк.;Что могло бы повысить Вашу вовлеченность в обучение?;Если бы у Вас была возможность выбрать формат обучения по данной программе, какой бы Вы предпочли? ;"Насколько эффективным было взаимодействие с командой Корпоративного университета на протяжении всего периода обучения?
Оцените, пожалуйста, взаимодействие по 10 — балльной шкале, где 1 — взаимодействие было неэффективным, 10 — это была отличная командная работа на результат!";Прокомментируйте, пожалуйста, Ваш выбор.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
